rowNumber,customerId,surname,creditScore,geography,gender,age,tenure,balance,numOfProducts,hasCrCard,isActiveMember,estimatedSalary,exited,Latitude,Longitude
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,43.80186193,-2.606614772
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,41.5880522,-2.017373446
39,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0,49.48595672,5.531047435
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,52.34763163,11.64213498
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0,39.2430573,-2.208525539
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,49.34232631,6.116271099
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,46.45699024,3.1681315
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,47.28002086,4.939257709
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,44.50383486,-1.869138728
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,54.08712161,12.55196952
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,52.9834442,11.77811216
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,53.46056416,12.50813666
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,51.84549581,12.34473895
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,53.9032238,13.60750018
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,54.74083215,11.12997484
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,52.44248237,10.17132732
53,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0,49.26454018,4.070859084
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,53.2195847,11.81326551
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,52.80510742,12.02510942
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,46.34427798,4.950273125
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,47.98046304,3.194004702
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,53.6470784,10.32963153
59,15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1,43.00422886,-4.158371511
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,48.35740478,2.569345548
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0,52.95983821,11.15593797
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,50.8370203,12.49666354
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,41.78331353,-1.557272318
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,44.56846207,-1.904849883
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,54.96566479,11.54526267
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,53.62675581,12.05739174
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,52.63011866,13.6317612
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,51.85659665,12.64050314
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,53.80252241,13.73634697
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0,47.90228142,3.202620671
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,52.50041082,14.49866661
72,15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0,47.14482358,4.927026336
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,40.87203732,-2.075674804
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,52.63782783,10.49247387
75,15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0,46.85358746,3.95150867
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0,48.52624495,6.490138953
77,15614049,Hu,664,France,Male,55,8,0,2,1,1,139161.64,0,47.02800673,4.10227576
78,15662085,Read,678,France,Female,32,9,0,1,1,1,148210.64,0,48.76821621,2.326192509
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,42.54150062,-1.377840198
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,52.58958322,12.35450488
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,48.79042671,4.720893402
82,15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1,47.3483421,3.056128706
83,15641732,Mills,543,France,Female,36,3,0,2,0,0,26019.59,0,49.19413119,4.267847194
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,46.35763122,3.825695734
85,15738751,Beit,493,France,Female,46,4,0,2,1,0,1907.66,0,48.91213408,4.282076251
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0,41.34609231,-1.442870996
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,41.51821615,-1.817003803
88,15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0,48.47390587,4.925112102
89,15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1,46.38399369,3.757297649
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,52.21699733,11.33904228
91,15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1,40.64219985,-2.022711076
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,48.11290376,6.449423046
93,15809248,Cole,524,France,Female,36,10,0,2,1,0,109614.57,0,47.15962585,3.970921929
94,15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0,50.18013015,4.525521171
95,15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0,41.7378856,-2.432055546
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,42.1414101,-1.263146011
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,41.23544376,0.025972746
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,53.30187819,11.04470953
99,15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0,42.95812474,-0.956536472
100,15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0,46.95745618,3.384342977
101,15808582,Fu,665,France,Female,40,6,0,1,1,1,161848.03,0,47.3005393,2.475620214
102,15743192,Hung,623,France,Female,44,6,0,2,0,0,167162.43,0,48.7381058,3.301215826
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,48.8430349,4.392107835
104,15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0,42.48429659,-2.744792827
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1,42.57069959,-2.566138221
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,44.14095049,-3.670476844
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,52.79042209,13.42852655
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,52.74288229,11.54097683
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,41.09035346,-3.035840434
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,53.42121294,13.82989013
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,52.40989416,12.66255452
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,51.99275114,12.98172745
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,47.49694997,2.510493105
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,43.92323246,0.266106607
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,53.9362286,11.53697369
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,51.03370638,9.859299482
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,50.69918313,12.50472433
118,15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0,47.44569395,3.422342252
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,53.44642817,11.93713825
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,53.1773309,10.4987162
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,48.94430878,3.647224433
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,42.17841937,0.175095291
123,15690673,Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0,48.2340525,4.519724297
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,52.72913584,12.12456319
125,15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0,46.33289233,3.469765278
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,46.34874135,3.800123821
127,15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1,47.6899723,1.178187997
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,53.64462624,12.39465973
129,15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0,47.39954851,3.28390972
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,50.74262236,3.495592301
131,15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0,47.57357595,2.5504679
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,51.34766702,11.6320285
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,46.35486289,4.56812708
134,15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0,47.69039661,3.426788743
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,53.45535036,12.21259899
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,54.5104273,11.49431617
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,53.53913555,12.59033443
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,48.28226097,3.998883302
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,43.10579611,-0.662487914
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,41.36581537,-1.000348008
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,52.60110032,13.66316248
142,15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0,45.94955245,5.040626722
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,46.03198229,5.58942864
144,15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1,42.30760435,-0.238257196
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,48.66961819,4.127193563
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,40.885886,0.530808185
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,42.43967254,-2.006408282
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,48.37720063,2.796264075
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,48.51022786,4.204170121
150,15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0,47.40362229,3.927902073
151,15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0,43.14043976,-1.791215909
152,15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1,46.74846662,3.559573558
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0,41.35830684,-3.592709895
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,49.01962212,4.681979409
155,15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0,47.1327647,3.718646083
156,15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1,41.55451969,-1.772139479
157,15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0,48.78939984,3.267135289
158,15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0,42.3578437,-0.573755377
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,48.52507835,4.287931672
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,54.45825752,10.84421341
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,42.27723001,-2.36461161
162,15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0,44.73046765,5.511938716
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,48.54747006,2.178250858
164,15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0,42.52590425,-1.902414395
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,41.93870809,-1.389110182
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,54.27586416,12.03964197
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,51.87303236,12.13307114
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,41.98737347,-1.889200136
169,15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1,43.55629402,-3.166686948
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,52.84197836,13.82088607
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,46.47913249,4.310217924
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,51.59654308,10.85457921
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,54.18380255,11.99756021
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,47.36454056,5.876879207
175,15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0,48.46620458,5.900032557
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,41.73648761,-2.445196818
177,15645248,Ho,510,France,Female,30,0,0,2,1,1,130553.47,0,46.16483094,4.449777112
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,52.50878829,12.81440671
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,41.78964437,-2.964182673
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,55.33748408,13.19700114
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,41.80374998,-0.925314561
182,15789669,Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0,46.57992448,4.563726509
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,52.13895348,11.54214642
184,15810845,T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0,48.87013144,3.780177944
185,15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1,47.41817408,3.560245349
186,15654506,Chang,514,France,Male,32,8,0,2,1,0,95857.18,0,48.09280953,2.78263662
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,48.90898285,3.43640237
188,15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0,42.54109106,-2.982939374
189,15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0,43.48848457,-2.992975631
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,54.46527,13.79010523
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,48.65219032,3.998817828
192,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,48.76211275,4.977982394
193,15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0,47.57611514,4.537651408
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,46.90924483,5.330256929
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,43.00012974,-3.111774344
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0,48.7586655,6.08195635
197,15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0,44.49937411,-2.396363507
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,53.74790321,12.30796765
199,15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0,47.67664071,4.25015875
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,49.18968131,3.106184672
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,41.77725602,-1.494080892
202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,48.75123569,3.026157864
203,15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1,41.39214133,-1.581761974
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,49.00983088,4.134409216
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,42.30606245,-0.886057433
206,15773039,Ku,550,France,Male,37,3,0,1,1,1,179670.31,0,48.73832703,3.869036313
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,45.62846028,-2.213345276
208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,48.20597139,4.111380748
209,15684181,Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1,48.31525969,3.14182037
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,47.38989289,2.434902682
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,52.26735615,12.87043523
212,15624592,Tan,603,France,Male,31,8,0,2,1,1,169915.02,0,48.70450361,5.298805752
213,15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0,48.50864243,3.598262109
214,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,47.68113472,4.050157729
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,52.59259727,12.66503641
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,54.07331698,12.74454844
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,47.49595724,4.989637932
218,15786308,Millar,730,Spain,Female,33,9,0,2,0,0,176576.62,0,42.34256302,-1.95377857
219,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,50.46236741,3.184422785
220,15774854,Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1,49.22901193,5.177755957
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,48.25588437,5.367122377
222,15787155,Yang,514,Spain,Male,30,7,0,1,0,1,125010.24,0,43.13990441,-2.521383174
223,15727829,McIntyre,567,France,Male,42,2,0,2,1,1,167984.61,0,46.78524685,5.650912701
224,15733247,Stevenson,850,France,Male,33,10,0,1,1,0,4861.72,1,48.34728432,3.588178201
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,54.78361452,12.46701957
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,48.02890998,5.738294605
227,15774393,Ch'ien,694,France,Female,30,9,0,2,1,1,26960.31,0,49.98541567,5.274179611
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,53.74374555,12.17037171
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,52.90136362,13.42863336
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,52.67104181,9.417493967
231,15808473,Ringrose,673,France,Male,72,1,0,2,0,1,111981.19,0,46.98837746,5.09203965
232,15627000,Freeman,610,France,Male,40,0,0,2,1,0,62232.6,0,47.56340654,3.307307703
233,15787174,Sergeyev,512,France,Female,37,1,0,2,0,1,156105.03,0,47.7450941,4.345164698
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,53.15207011,10.11604945
235,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,47.71719502,4.212519002
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,52.99151309,12.27274696
237,15711540,Pacheco,712,France,Female,29,2,0,1,1,1,144375,0,48.05233063,3.65111971
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,52.8154942,12.01246409
239,15794056,Johnston,668,France,Female,46,2,0,3,1,0,89048.46,1,48.21740129,4.086550991
240,15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,47.70599236,3.359953008
241,15812009,Grant,662,Spain,Male,38,4,0,2,1,0,136259.65,0,41.96939839,-1.774952536
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,54.67667269,11.92989352
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,47.65150133,5.503396266
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,53.65526741,14.4157315
245,15576269,Madison,523,Spain,Male,34,7,0,2,1,0,62030.06,0,41.94929457,-2.276110743
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,49.37852437,5.103289355
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414,0,55.02643971,12.88765066
248,15599792,Dimauro,545,France,Female,26,1,0,2,1,1,199638.56,0,47.90456516,3.340464938
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,52.64999188,11.69498953
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,54.38491532,10.81115628
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,53.87605217,12.1858483
252,15753754,Morrison,587,Spain,Female,34,1,0,2,1,1,97932.68,0,43.41964555,-0.748661498
253,15793726,Matveyeva,681,France,Female,79,0,0,2,0,1,170968.99,0,48.95319163,4.374522234
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,51.47607722,11.60983237
255,15665834,Cheatham,696,Spain,Male,28,8,0,1,0,0,176713.47,0,41.67848747,0.036540471
256,15765297,Yao,766,Spain,Male,41,0,0,2,0,1,34283.23,0,41.5373269,-1.485751465
257,15636684,Kirkland,727,France,Male,34,10,0,2,1,1,198637.34,0,46.4518416,4.574601308
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,52.54158911,12.3536952
259,15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,47.82725635,1.802827906
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,53.40717247,11.79470164
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,51.7759556,14.41718514
262,15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,40.24237695,-0.153154432
263,15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,49.10444641,2.351230755
264,15673693,Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,47.07325805,6.205398958
